ID,age,year_sampling,year_of_birth,sex,HA,hapto,initial_lysis,pre-scan_absorbance,assay_batch_HAHL,assay_batch_hapto,storage_time_HAHL,storage_time_hapto
327,3,2011,2008,2,12.0,,1.0,,2017.0,,6.0,
327,5,2013,2008,2,12.0,,6.0,,2017.0,,4.0,
328,4,2017,2013,2,,0.156888,,0.148,,2018.0,,1.0
328,5,2018,2013,2,11.0,0.736613,4.0,0.218,2018.0,2018.0,0.0,0.0
328,6,2019,2013,2,10.0,0.02695,1.0,0.154,2020.0,2020.0,1.0,1.0
329,10,2009,1999,1,10.0,,2.0,,2017.0,,8.0,
329,11,2010,1999,1,10.0,,3.0,,2017.0,,7.0,
329,12,2011,1999,1,12.0,,8.0,,2017.0,,6.0,
329,13,2012,1999,1,,,4.0,,2017.0,,5.0,
330,5,2013,2008,1,14.0,,5.0,,2017.0,,4.0,
330,6,2014,2008,1,,0.062607,3.0,0.125,2017.0,2018.0,3.0,4.0
330,9,2017,2008,1,12.0,0.136782,1.0,0.127,2017.0,2018.0,0.0,1.0
330,10,2018,2008,1,13.0,1.059058,5.0,0.26,2018.0,2018.0,0.0,0.0
330,11,2019,2008,1,10.0,0.147688,2.0,0.257,2020.0,2020.0,1.0,1.0
331,13,2016,2003,1,12.0,0.395972,3.0,0.146,2017.0,2017.0,1.0,1.0
331,14,2017,2003,1,12.0,0.174444,2.0,0.139,2017.0,2017.0,0.0,0.0
331,15,2018,2003,1,12.0,1.069121,4.0,0.165,2018.0,2018.0,0.0,0.0
331,16,2019,2003,1,10.0,0.122371,2.0,0.131,2020.0,2020.0,1.0,1.0
332,5,2018,2013,2,,0.947577,,0.251,,2018.0,,0.0
333,3,2011,2008,2,12.0,0.086307,1.0,0.115,2017.0,2017.0,6.0,6.0
333,4,2012,2008,2,10.0,,3.0,,2017.0,,5.0,
333,5,2013,2008,2,10.0,,1.0,,2017.0,,4.0,
333,8,2016,2008,2,8.0,,2.0,,2017.0,,1.0,
333,9,2017,2008,2,15.0,0.288041,4.0,0.205,2017.0,2017.0,0.0,0.0
333,11,2019,2008,2,9.0,0.172117,2.0,0.118,2020.0,2020.0,1.0,1.0
334,7,2008,2001,1,8.0,,2.0,,2017.0,,9.0,
334,12,2013,2001,1,12.0,,7.0,,2017.0,,4.0,
