id,year_of_sampling,capture_date,sex,age,mass,year_of_birth,ALO,lymphocyte_count,neutrophil_count,monocyte_count,eosinophil_count,leukocyte_concentration,included_in_survival_analysis,log_leukocyte_concentration
45,2014,137,f,3,3475,2011,4,13.0,86.0,1.0,0.0,51102000.0,no,17.749334193351274
45,2015,147,f,4,3900,2011,4,22.0,59.0,9.0,10.0,22337998.939002,no,16.92179977458546
46,2014,138,f,3,3525,2011,4,57.0,36.0,7.0,0.0,13158000.0,no,16.39254049662808
46,2015,153,f,4,3625,2011,4,35.0,57.0,1.0,7.0,21623998.9729152,no,16.889314319440974
47,2014,163,m,3,4550,2011,4,31.0,55.0,7.0,7.0,19380000.5133947,yes,16.779752190917847
47,2015,148,m,4,4250,2011,4,19.0,70.0,5.0,5.0,13973999.3362706,yes,16.45270897059708
48,2014,138,f,3,3550,2011,4,65.0,32.0,2.0,1.0,58038000.0,yes,17.87660852639274
48,2015,141,f,4,3400,2011,4,33.0,66.0,0.0,1.0,24140000.6394916,yes,16.999380800124612
49,2014,135,m,3,3850,2011,4,28.0,66.0,3.0,3.0,,yes,
49,2015,142,m,4,3875,2011,4,22.0,73.0,4.0,1.0,,yes,
50,2014,136,m,3,4025,2011,4,30.0,68.0,2.0,0.0,27438000.0,no,17.127439471868247
50,2015,137,m,4,3875,2011,4,19.0,73.0,3.0,5.0,10811999.4864576,no,16.196167138881027
51,2014,142,f,3,3600,2011,4,54.0,41.0,3.0,2.0,,yes,
51,2015,142,f,4,4025,2011,4,21.0,75.0,3.0,1.0,,yes,
52,2013,136,m,3,3150,2010,4,29.0,64.0,5.0,2.0,17238000.0,yes,16.662626807189483
52,2014,136,m,4,3500,2010,4,21.0,73.0,1.0,4.0,18462000.0,yes,16.731225123532234
53,2013,173,f,3,4120,2010,5,48.0,51.0,0.0,1.0,13770000.0,yes,16.43800287070484
53,2014,136,f,4,4475,2010,5,35.0,62.0,2.0,2.0,,yes,
53,2015,141,f,5,4000,2010,5,47.0,49.0,2.0,2.0,14620000.3872977,yes,16.497901038776856
