ID,Age_class,site,First_captured,Year_birth,Cohort_birth,sex,cohort_sexual_maturity,AFR,Last_captured,lifespan,weaned_juv,age,nb_juv,season
H058,J,MV5,18/06/2012,2012,Spring,F,Intermediate sexual maturity,15,30/06/2016,49.0,1,45,1,Post-mast
H063,J,MV5,19/06/2012,2012,Spring,F,Intermediate sexual maturity,15,29/05/2015,36.0,0,15,0,Pre-mast
H063,J,MV5,19/06/2012,2012,Spring,F,Intermediate sexual maturity,15,29/05/2015,36.0,1,22,3,Post-mast
H063,J,MV5,19/06/2012,2012,Spring,F,Intermediate sexual maturity,15,29/05/2015,36.0,0,37,0,Pre-mast
H068,A,MV5,20/06/2012,2011,Summer ,F,Late sexual maturity,22,11/06/2016,57.0,0,7,0,Post-mast
H068,A,MV5,20/06/2012,2011,Summer ,F,Late sexual maturity,22,11/06/2016,57.0,1,22,1,Pre-mast
H068,A,MV5,20/06/2012,2011,Summer ,F,Late sexual maturity,22,11/06/2016,57.0,0,30,0,Post-mast
H068,A,MV5,20/06/2012,2011,Summer ,F,Late sexual maturity,22,11/06/2016,57.0,0,45,0,Pre-mast
H068,A,MV5,20/06/2012,2011,Summer ,F,Late sexual maturity,22,11/06/2016,57.0,1,52,1,Post-mast
H069,A,MV5,21/06/2012,2011,Summer ,M,Early sexual maturity,7,29/05/2015,45.0,1,7,3,Post-mast
H069,A,MV5,21/06/2012,2011,Summer ,M,Early sexual maturity,7,29/05/2015,45.0,0,22,0,Pre-mast
H069,A,MV5,21/06/2012,2011,Summer ,M,Early sexual maturity,7,29/05/2015,45.0,1,30,2,Post-mast
H069,A,MV5,21/06/2012,2011,Summer ,M,Early sexual maturity,7,29/05/2015,45.0,0,45,0,Pre-mast
H072,A,MV5,03/07/2012,2011,Summer ,F,Early sexual maturity,7,30/08/2017,72.0,1,7,1,Post-mast
H072,A,MV5,03/07/2012,2011,Summer ,F,Early sexual maturity,7,30/08/2017,72.0,1,22,1,Pre-mast
H072,A,MV5,03/07/2012,2011,Summer ,F,Early sexual maturity,7,30/08/2017,72.0,0,30,0,Post-mast
H072,A,MV5,03/07/2012,2011,Summer ,F,Early sexual maturity,7,30/08/2017,72.0,1,45,3,Pre-mast
H072,A,MV5,03/07/2012,2011,Summer ,F,Early sexual maturity,7,30/08/2017,72.0,1,52,1,Post-mast
H072,A,MV5,03/07/2012,2011,Summer ,F,Early sexual maturity,7,30/08/2017,72.0,1,67,2,Pre-mast
I002,A,MV4,22/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,25/06/2015,37.0,1,15,2,Pre-mast
I002,A,MV4,22/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,25/06/2015,37.0,1,22,4,Post-mast
I002,A,MV4,22/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,25/06/2015,37.0,0,37,0,Pre-mast
I003,A,MV4,22/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,03/07/2014,25.0,1,15,5,Pre-mast
I003,A,MV4,22/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,03/07/2014,25.0,0,22,0,Post-mast
I004,A,MV4,23/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,05/07/2015,38.0,1,15,5,Pre-mast
I004,A,MV4,23/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,05/07/2015,38.0,1,22,1,Post-mast
I004,A,MV4,23/05/2013,2012,Spring ,F,Intermediate sexual maturity,15,05/07/2015,38.0,0,37,0,Pre-mast
I005,A,MV4,23/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,19/05/2014,24.0,1,15,1,Pre-mast
I005,A,MV4,23/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,19/05/2014,24.0,1,22,3,Post-mast
I006,A,MV4,27/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,04/06/2014,24.0,0,15,0,Pre-mast
I006,A,MV4,27/05/2013,2012,Spring ,M,Intermediate sexual maturity,15,04/06/2014,24.0,1,22,1,Post-mast
