Obs_num,Rep,F1_ID,F0_ID,Paternal_age,Paternal_sperm_age,Treatment,Sex,F1_Age,F2_Count,LS,Censored,Mean_age,Delta_age,ALR,Mean_age2,Age2
952,R1,D2.R1.OO.16,R1.OO.16,O,O,OO,Female,18,0,24,1,11,7,18,121,324
50,R1,D2.R1.OY.65,R1.OY.65,O,Y,OY,Female,4,68,24,1,11,-7,18,121,16
1126,R1,D2.R1.OY.65,R1.OY.65,O,Y,OY,Female,18,42,24,1,11,7,18,121,324
40,R1,D2.R1.YY.22,R1.YY.22,Y,Y,YY,Female,4,66,24,1,11,-7,18,121,16
1059,R1,D2.R1.YY.22,R1.YY.22,Y,Y,YY,Female,18,0,24,1,11,7,18,121,324
562,R2,D2.R2.OO.30,R2.OO.30,O,O,OO,Female,4,71,24,1,11,-7,18,121,16
1361,R2,D2.R2.OO.30,R2.OO.30,O,O,OO,Female,18,56,24,1,11,7,18,121,324
578,R2,D2.R2.OY.33,R2.OY.33,O,Y,OY,Female,4,90,24,1,11,-7,18,121,16
1351,R2,D2.R2.OY.33,R2.OY.33,O,Y,OY,Female,18,87,24,1,11,7,18,121,324
592,R2,D2.R2.OY.46,R2.OY.46,O,Y,OY,Female,4,57,24,1,11,-7,18,121,16
1447,R2,D2.R2.OY.46,R2.OY.46,O,Y,OY,Female,18,67,24,1,11,7,18,121,324
656,R2,D2.R2.YY.13,R2.YY.13,Y,Y,YY,Female,4,57,24,1,11,-7,18,121,16
1436,R2,D2.R2.YY.13,R2.YY.13,Y,Y,YY,Female,18,55,24,1,11,7,18,121,324
691,R2,D2.R2.YY.19,R2.YY.19,Y,Y,YY,Female,4,72,24,1,11,-7,18,121,16
1375,R2,D2.R2.YY.19,R2.YY.19,Y,Y,YY,Female,18,31,24,1,11,7,18,121,324
643,R2,D2.R2.YY.5,R2.YY.5,Y,Y,YY,Female,4,64,24,1,11,-7,18,121,16
1424,R2,D2.R2.YY.5,R2.YY.5,Y,Y,YY,Female,18,75,24,1,11,7,18,121,324
471,R2,D2.R2.YY.7,R2.YY.7,Y,Y,YY,Female,4,56,24,1,11,-7,18,121,16
1329,R2,D2.R2.YY.7,R2.YY.7,Y,Y,YY,Female,18,0,24,1,11,7,18,121,324
192,R1,D3.R1.OY.27,R1.OY.27,O,Y,OY,Female,4,0,24,1,11,-7,18,121,16
1014,R1,D3.R1.OY.27,R1.OY.27,O,Y,OY,Female,18,0,24,1,11,7,18,121,324
627,R2,D3.R2.OY.3,R2.OY.3,O,Y,OY,Female,4,0,24,1,11,-7,18,121,16
1400,R2,D3.R2.OY.3,R2.OY.3,O,Y,OY,Female,18,52,24,1,11,7,18,121,324
502,R2,D3.R2.YO.12,R2.YO.12,Y,O,YO,Female,4,83,24,1,11,-7,18,121,16
1548,R2,D3.R2.YO.12,R2.YO.12,Y,O,YO,Female,18,63,24,1,11,7,18,121,324
658,R2,D3.R2.YO.15,R2.YO.15,Y,O,YO,Female,4,75,24,1,11,-7,18,121,16
1475,R2,D3.R2.YO.15,R2.YO.15,Y,O,YO,Female,18,44,24,1,11,7,18,121,324
454,R2,D3.R2.YO.18,R2.YO.18,Y,O,YO,Female,4,85,24,1,11,-7,18,121,16
1359,R2,D3.R2.YO.18,R2.YO.18,Y,O,YO,Female,18,75,24,1,11,7,18,121,324
585,R2,D3.R2.YO.21,R2.YO.21,Y,O,YO,Female,4,55,24,1,11,-7,18,121,16
1381,R2,D3.R2.YO.21,R2.YO.21,Y,O,YO,Female,18,83,24,1,11,7,18,121,324
606,R2,D3.R2.YY.5,R2.YY.5,Y,Y,YY,Female,4,70,24,1,11,-7,18,121,16
1428,R2,D3.R2.YY.5,R2.YY.5,Y,Y,YY,Female,18,68,24,1,11,7,18,121,324
82,R1,D1.R1.YO.5,R1.YO.5,Y,O,YO,Female,4,82,26,1,11,-7,18,121,16
1136,R1,D1.R1.YO.5,R1.YO.5,Y,O,YO,Female,18,0,26,1,11,7,18,121,324
139,R1,D1.R1.YY.27,R1.YY.27,Y,Y,YY,Female,4,58,26,1,11,-7,18,121,16
979,R1,D1.R1.YY.27,R1.YY.27,Y,Y,YY,Female,18,0,26,1,11,7,18,121,324
124,R1,D2.R1.OO.20,R1.OO.20,O,O,OO,Female,4,6,26,1,11,-7,18,121,16
1034,R1,D2.R1.OO.20,R1.OO.20,O,O,OO,Female,18,0,26,1,11,7,18,121,324
114,R1,D2.R1.YY.26,R1.YY.26,Y,Y,YY,Female,4,44,26,1,11,-7,18,121,16
1007,R1,D2.R1.YY.26,R1.YY.26,Y,Y,YY,Female,18,0,26,1,11,7,18,121,324
3,R1,D3.R1.OY.12,R1.OY.12,O,Y,OY,Female,4,78,26,1,11,-7,18,121,16
1060,R1,D3.R1.OY.12,R1.OY.12,O,Y,OY,Female,18,0,26,1,11,7,18,121,324
3175,R3,D1.R3.YO.23,R3.YO.23,Y,O,YO,Female,4,57,27,1,11,-7,18,121,16
3612,R3,D1.R3.YO.23,R3.YO.23,Y,O,YO,Female,18,38,27,1,11,7,18,121,324
3196,R3,D1.R3.YO.26,R3.YO.26,Y,O,YO,Female,4,44,27,1,18,-14,32,324,16
3650,R3,D1.R3.YO.26,R3.YO.26,Y,O,YO,Female,18,0,27,1,18,0,32,324,324
4044,R3,D1.R3.YO.26,R3.YO.26,Y,O,YO,Female,32,0,27,1,18,14,32,324,1024
3468,R4,D1.R4.YO.16,R4.YO.16,Y,O,YO,Female,4,68,27,1,11,-7,18,121,16
3909,R4,D1.R4.YO.16,R4.YO.16,Y,O,YO,Female,18,43,27,1,11,7,18,121,324
3413,R4,D1.R4.YO.3,R4.YO.3,Y,O,YO,Female,4,67,27,1,11,-7,18,121,16
3844,R4,D1.R4.YO.3,R4.YO.3,Y,O,YO,Female,18,39,27,1,11,7,18,121,324
3177,R3,D2.R3.OY.14,R3.OY.14,O,Y,OY,Female,4,64,27,1,11,-7,18,121,16
3625,R3,D2.R3.OY.14,R3.OY.14,O,Y,OY,Female,18,62,27,1,11,7,18,121,324
3181,R3,D2.R3.OY.9,R3.OY.9,O,Y,OY,Female,4,43,27,1,11,-7,18,121,16
3664,R3,D2.R3.OY.9,R3.OY.9,O,Y,OY,Female,18,0,27,1,11,7,18,121,324
3194,R3,D2.R3.YO.26,R3.YO.26,Y,O,YO,Female,4,63,27,1,11,-7,18,121,16
3671,R3,D2.R3.YO.26,R3.YO.26,Y,O,YO,Female,18,0,27,1,11,7,18,121,324
3209,R3,D2.R3.YY.7,R3.YY.7,Y,Y,YY,Female,4,0,27,1,11,-7,18,121,16
3606,R3,D2.R3.YY.7,R3.YY.7,Y,Y,YY,Female,18,0,27,1,11,7,18,121,324
